"OrderId","Word","TagH1","TagH2","TagH3","TagH4","TagH5","TagH6","TagA","Link","NoFollowLink","TagArea","TagHidden","TagImg","TagButton","TagMetaDescription","TagMetaKeywords","TagTitle","TagSmall","TagStrike","TagSub","TagSup","TagB","TagBig","TagEm","TagI","TagStrong","TagU","TagOption","Lang","Country","DomailId","HostId","PunctuationMarkBefore","PunctuationMarkAfter","FirstLetterUppercase","AllInUpperCase","TagDel","TagDfn","TagIns","TagMark","TagOptgroup"
"114","iets","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"115","aan","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"116","hebt","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0",".","0","0","0","0","0","0","0"
"117","In","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","1","0","0","0","0","0","0"
"118","dat","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"119","geval","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"120","verwijzen","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"121","we","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"122","u","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"123","graag","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"124","naar","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"125","onze","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"126","‘virtuele","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"127","etalage’","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"128","op","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"129","www.ipower.eu","0","0","0","0","0","0","1","http://www.ipower.eu/","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"130","screenshot","0","0","0","0","0","0","1","../images/Content/iPowereu_screenshot.jpg","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"131","www.ipower.eu","0","0","0","0","0","0","1","../images/Content/iPowereu_screenshot.jpg","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"132","Print","0","0","0","0","0","0","1","/images/icons/printer.gif","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","1","0","0","0","0","0","0"
"133","Voeg","0","0","0","0","0","0","1","/images/icons/favorite.gif","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","1","0","0","0","0","0","0"
"134","toe","0","0","0","0","0","0","1","/images/icons/favorite.gif","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"135","aan","0","0","0","0","0","0","1","/images/icons/favorite.gif","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"136","uw","0","0","0","0","0","0","1","/images/icons/favorite.gif","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"137","favorieten","0","0","0","0","0","0","1","/images/icons/favorite.gif","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"138","Verstuur","0","0","0","0","0","0","1","/images/icons/e-mail.gif","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","1","0","0","0","0","0","0"
"139","deze","0","0","0","0","0","0","1","/images/icons/e-mail.gif","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"140","pagina","0","0","0","0","0","0","1","/images/icons/e-mail.gif","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"141","naar","0","0","0","0","0","0","1","/images/icons/e-mail.gif","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"142","een","0","0","0","0","0","0","1","/images/icons/e-mail.gif","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","0","0","0","0","0","0","0","0","0"
"143","in)","0","0","0","0","0","0","1","/images/icons/e-mail.gif","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","en","US","1","1","(","0","0","0","0","0","0","0","0"
"144","Nederlands","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","en","US","1","1","0","0","1","0","0","0","0","0","0"
